Item #,Product Name,Platform,Cash Payout ($),CeX Voucher ($),Voucher Extra ($),CeX Sell Price ($),CeX Link
1,"Orange Box, The (Half Life 2, Portal & Team Fortress 2)",Xbox 360,24.00,31.00,7.00,55.00,https://au.webuy.com/sell/product-detail?id=5030941058964
2,Spider-Man (2018) No DLC,PlayStation 4,19.00,24.00,5.00,40.00,https://au.webuy.com/sell/product-detail?id=711719415978
3,Fire Pro Wrestling World,PlayStation 4,15.00,19.00,4.00,32.00,https://au.webuy.com/sell/product-detail?id=4020628758929
4,Riders Republic (No DLC),PlayStation 4,14.00,18.00,4.00,30.00,https://au.webuy.com/sell/product-detail?id=307216186595
5,Half Life 2,Xbox,14.00,22.00,8.00,40.00,https://au.webuy.com/sell/product-detail?id=5030930048884
6,MotoGP 19,PlayStation 4,13.00,17.00,4.00,28.00,https://au.webuy.com/sell/product-detail?id=8059617109349
7,Grand Theft Auto V (5),PlayStation 4,13.00,17.00,4.00,28.00,https://au.webuy.com/sell/product-detail?id=5026555417068
8,Tony Hawk's Pro Skater 1 + 2,PlayStation 4,12.00,15.00,3.00,25.00,https://au.webuy.com/sell/product-detail?id=5030917290190
9,NBA Jam 2010,PlayStation 3,11.00,14.00,3.00,25.00,https://au.webuy.com/sell/product-detail?id=5030930100179
10,Portal 2,PlayStation 3,9.00,11.00,2.00,20.00,https://au.webuy.com/sell/product-detail?id=5030930102081
11,Gran Turismo Sport (No DLC),PlayStation 4,9.00,12.00,3.00,20.00,https://au.webuy.com/sell/product-detail?id=0711719827658
12,No Man's Sky,PlayStation 4,8.00,11.00,3.00,18.00,https://au.webuy.com/sell/product-detail?id=5027669488258
13,Super Street Fighter IV (4) Arcade Ed,Xbox 360,6.00,8.00,2.00,15.00,https://au.webuy.com/sell/product-detail?id=5055060962633
14,Just Cause 4,PlayStation 4,5.00,7.00,2.00,12.00,https://au.webuy.com/sell/product-detail?id=5021290082519
15,LEGO Marvel Avengers,PlayStation 3,3.00,5.00,2.00,12.00,https://au.webuy.com/sell/product-detail?id=9325336201473
16,FIFA 20,PlayStation 4,2.00,3.00,1.00,8.00,https://au.webuy.com/sell/product-detail?id=5035228123571
17,LEGO Star Wars: The Force Awakens,PlayStation 4,2.00,4.00,2.00,10.00,https://au.webuy.com/sell/product-detail?id=9325336201930
18,Trials Fusion,PlayStation 4,2.00,4.00,2.00,10.00,https://au.webuy.com/sell/product-detail?id=3307215777527
19,WWE 2K Battlegrounds,PlayStation 4,2.00,3.00,1.00,8.00,https://au.webuy.com/sell/product-detail?id=5026555428613
20,Just Cause 3,PlayStation 4,2.00,3.00,1.00,8.00,https://au.webuy.com/sell/product-detail?id=5021290000575
21,Mirror's Edge,Xbox 360,2.00,3.00,1.00,8.00,https://au.webuy.com/sell/product-detail?id=5030930064655
22,TNA Impact,Xbox 360,2.00,3.00,1.00,8.00,https://au.webuy.com/sell/product-detail?id=5037930100703
23,Sega Mega Drive Ultimate Collection,Xbox 360,2.00,4.00,2.00,10.00,https://au.webuy.com/sell/product-detail?id=5060138440210
24,Moto GP3,PlayStation 2,1.40,2.00,0.60,5.00,https://au.webuy.com/sell/product-detail?id=711719437826
25,WWE - Legends of Wrestlemania,Xbox 360,1.40,2.00,0.60,5.00,https://au.webuy.com/sell/product-detail?id=4005209117050
26,LEGO Marvel Super Heroes (No Toy),PlayStation 3,0.90,1.60,0.70,6.00,https://au.webuy.com/sell/product-detail?id=9325336168448
27,Star Wars Battlefront,PlayStation 4,0.90,1.60,0.70,6.00,https://au.webuy.com/sell/product-detail?id=5030931112584
28,Tourist Trophy,PlayStation 2,0.80,1.30,0.50,3.00,https://au.webuy.com/sell/product-detail?id=711719612971
29,MotoGP 09/10,PlayStation 3,0.70,1.40,0.70,5.00,https://au.webuy.com/sell/product-detail?id=5055060926109
30,Tiger Woods PGA Tour 09,Xbox 360,0.40,0.80,0.40,3.00,https://au.webuy.com/sell/product-detail?id=5030930065676
31,Virtua Tennis 2009,PlayStation 3,0.30,0.70,0.40,2.50,https://au.webuy.com/sell/product-detail?id=5055277000005
32,Just Cause 2 (15),Xbox 360,0.30,0.70,0.40,2.50,https://au.webuy.com/sell/product-detail?id=5021290038349
33,SBK 09: Superbike World Championship 09,Xbox 360,0.30,0.50,0.20,2.00,https://au.webuy.com/sell/product-detail?id=8033102494615
