Product Name,Cash Value ($),Voucher Value ($),CeX Sell Price ($),Voucher Bonus ($),Cash % of Sell,Trade % of Sell,Category,Category ID,System / Platform,Stock Status,Barcode / ID,CeX Sell Link
Lego Indiana Jones,2.00,4.00,10.00,2.00,20.0%,40.0%,Wii Games,795,"Gaming Software, Wii",Store & Online,023272006587,https://au.webuy.com/sell/product-detail?id=023272006587
Wii Play (Game Only),0.30,0.70,2.50,0.40,12.0%,28.0%,Wii Games,795,"Gaming Software, Wii",Store & Online,045496890117,https://au.webuy.com/sell/product-detail?id=045496890117
Wii Sports (Normal DVD Case),1.40,2.00,5.00,0.60,28.0%,40.0%,Wii Games,795,"Gaming Software, Wii",Store & Online,045496362119,https://au.webuy.com/sell/product-detail?id=045496362119
Carnival Funfair Games: Mini Golf,2.00,3.00,8.00,1.00,25.0%,37.5%,Wii Games,795,"Gaming Software, Wii",Store & Online,5026555042826,https://au.webuy.com/sell/product-detail?id=5026555042826
"Legend of Spyro, The: The Eternal Night",2.00,3.00,8.00,1.00,25.0%,37.5%,Wii Games,795,"Gaming Software, Wii",Store & Online,3348542212985,https://au.webuy.com/sell/product-detail?id=3348542212985
Big Beach Sports 2,0.60,1.10,4.00,0.50,15.0%,27.5%,Wii Games,795,"Gaming Software, Wii",Store & Online,4005209133661,https://au.webuy.com/sell/product-detail?id=4005209133661
Big Family Games,0.40,0.80,3.00,0.40,13.3%,26.7%,Wii Games,795,"Gaming Software, Wii",Store & Online,4005209119825,https://au.webuy.com/sell/product-detail?id=4005209119825
Wii Fit Plus - Game Only,0.00,0.00,2.00,0.00,0.0%,0.0%,Wii Games,795,"Gaming Software, Wii",Store & Online,045496901707,https://au.webuy.com/sell/product-detail?id=045496901707
Just Dance,1.60,2.00,6.00,0.40,26.7%,33.3%,Wii Games,795,"Gaming Software, Wii",Store & Online,3307211686182,https://au.webuy.com/sell/product-detail?id=3307211686182
Carnival Games,1.60,2.00,6.00,0.40,26.7%,33.3%,Wii Games,795,"Gaming Software, Wii",Store & Online,5026555042123,https://au.webuy.com/sell/product-detail?id=5026555042123
Big Brain Academy: Wii Degree,0.30,0.50,2.00,0.20,15.0%,25.0%,Wii Games,795,"Gaming Software, Wii",Store & Online,045496900175,https://au.webuy.com/sell/product-detail?id=045496900175
Need For Speed Undercover,1.40,2.00,5.00,0.60,28.0%,40.0%,Wii Games,795,"Gaming Software, Wii",Store & Online,5030930067519,https://au.webuy.com/sell/product-detail?id=5030930067519
Guitar Hero World Tour (No Guitar),2.00,3.00,8.00,1.00,25.0%,37.5%,Wii Games,795,"Gaming Software, Wii",Store & Online,5030917061813,https://au.webuy.com/sell/product-detail?id=5030917061813
FIFA 10,1.10,1.80,4.00,0.70,27.5%,45.0%,Wii Games,795,"Gaming Software, Wii",Store & Online,5030930078027,https://au.webuy.com/sell/product-detail?id=5030930078027
UDraw Studio (Game Only),0.05,0.05,1.00,0.00,5.0%,5.0%,Wii Games,795,"Gaming Software, Wii",Store & Online,4005209140881S,https://au.webuy.com/sell/product-detail?id=4005209140881S
Hasbro Family Game Night,1.40,2.00,5.00,0.60,28.0%,40.0%,Wii Games,795,"Gaming Software, Wii",Store & Online,5030930066178,https://au.webuy.com/sell/product-detail?id=5030930066178
Just Dance 2,2.00,4.00,10.00,2.00,20.0%,40.0%,Wii Games,795,"Gaming Software, Wii",Store & Online,3307217926572,https://au.webuy.com/sell/product-detail?id=3307217926572
Just Dance 3,2.00,4.00,10.00,2.00,20.0%,40.0%,Wii Games,795,"Gaming Software, Wii",Store & Online,3307215586921,https://au.webuy.com/sell/product-detail?id=3307215586921
Wii Music,2.00,4.00,10.00,2.00,20.0%,40.0%,Wii Games,795,"Gaming Software, Wii",Store & Online,045496901301,https://au.webuy.com/sell/product-detail?id=045496901301
"Toy Story 3, The Game",2.00,3.00,8.00,1.00,25.0%,37.5%,Wii Games,795,"Gaming Software, Wii",Store & Online,8717418266028,https://au.webuy.com/sell/product-detail?id=8717418266028
Dodge Racing: Charger Vs Challenger,0.40,0.80,3.00,0.40,13.3%,26.7%,Wii Games,795,"Gaming Software, Wii",Store & Online,5055377600327,https://au.webuy.com/sell/product-detail?id=5055377600327
Need For Speed - Pro Street,0.50,0.80,5.00,0.30,10.0%,16.0%,Wii Games,795,"Gaming Software, Wii",Store & Online,5030930059385,https://au.webuy.com/sell/product-detail?id=5030930059385
Wall-E,1.20,2.00,8.00,0.80,15.0%,25.0%,Wii Games,795,"Gaming Software, Wii",Store & Online,4005209105521,https://au.webuy.com/sell/product-detail?id=4005209105521
Drawn To Life: The Next Chapter,0.40,0.80,3.00,0.40,13.3%,26.7%,Wii Games,795,"Gaming Software, Wii",Store & Online,4005209127967,https://au.webuy.com/sell/product-detail?id=4005209127967
De Blob,0.30,0.50,2.00,0.20,15.0%,25.0%,Wii Games,795,"Gaming Software, Wii",Store & Online,4005209108478,https://au.webuy.com/sell/product-detail?id=4005209108478
Big Beach Sports,0.30,0.50,2.00,0.20,15.0%,25.0%,Wii Games,795,"Gaming Software, Wii",Store & Online,4005209105255,https://au.webuy.com/sell/product-detail?id=4005209105255
Mario Power Tennis,2.00,3.00,8.00,1.00,25.0%,37.5%,Wii Games,795,"Gaming Software, Wii",Store & Online,045496901424,https://au.webuy.com/sell/product-detail?id=045496901424
